"","species","report","mean","loHPDI","hiHDPI"
"488","Swan - Tundra",2,2.02528046,1.43255,2.73709
"489","Goose - Greater White",1,1.052800032,0.70718,1.38305
"490","Swan - Tundra",1,1.068721366,0.66736,1.4078
"491","Goose - Greater White",1,1.060821434,0.731827,1.43788
"492","Mallard",2,2.0639089,1.40862,2.75489
"493","Goose - Greater White",60,60.0293308,39.088,78.9648
"494","Goose - Ross",4,4.14044184,2.82135,5.5045
"495","Goose - Canada",10,10.3185861,7.06367,13.8387
"496","Goose - Snow",60,60.4608016,40.8144,82.4529
"497","Swan - Tundra",2,2.00312488,1.36933,2.56814
"498","Scoter - Black",30,29.4832298,18.7605,40.3598
"499","Muskrat",40,40.8405744,28.742,53.4235
"500","Muskrat",20,20.5237572,13.2054,26.6957
"501","Beaver",4,4.10569674,2.7667,5.45043
"502","Trout - Lake",6,6.12407356,4.17643,8.20544
"503","Goose - Snow",5,5.20836388,3.48344,7.04186
"504","Trout - Lake",5,5.1410397,3.45776,6.78433
"505","Goose - Snow",41,40.6392184,28.0323,54.568
"506","Goose - Greater White",2,2.077098976,1.389,2.76783
"507","Goose - Greater White",3,3.07335144,2.04361,4.06413
"508","Beaver",11,11.28244724,7.46114,14.7767
"509","Muskrat",8,8.25528362,5.08216,10.7109
"510","Goose - Snow",10,10.20064444,6.60732,13.5998
"511","Goose - Greater White",10,10.2729533,7.28016,13.8468
"512","Goose - Snow",-1,19.41851654,0.336183,45.6182
"513","Goose - Snow",-1,20.204314654,0.438097,44.6111
"514","Goose - Snow",-1,23.33779163,0.477076,53.4931
"515","Goose - Greater White",-1,24.862668638,0.181985,49.8984
"516","Goose - Greater White",-1,23.425219892,0.210119,50.7252
"517","Goose - Greater White",-1,21.30420985,0.326364,44.0419
"518","Goose - Greater White",-1,22.90583611,0.218955,54.7728
"519","Goose - Greater White",-1,21.62807426,0.365899,52.0945
"520","Goose - Greater White",-1,22.121909984,0.532983,53.9197
"521","Goose - Greater White",-1,24.207000058,0.341891,52.6731
"522","Goose - Greater White",-1,22.10163002,0.343943,47.886
"523","Goose - Greater White",-1,23.584939842,0.343321,50.3497
"524","Goose - Greater White",-1,23.016184288,0.245208,54.2514
"525","Goose - Canada",-1,22.67181787,0.336096,51.241
"526","Goose - Canada",-1,27.334378398,0.241081,58.2865
"527","Mallard",-1,7.378370686,0.138988,15.7584
"528","Mallard",-1,7.59166269,0.243606,16.5239
"529","Mallard",-1,7.927595,0.163589,16.3773
"530","Hare - Arctic",-1,7.015182112,0.408325,16.5865
"531","Muskrat",91,91.2837368,61.2112,117.34
"532","Muskrat",125,124.7122544,86.1162,169.603
"533","Goose - Canada",-1,21.62657391,0.269188,47.5885
"534","Goose - Greater White",-1,22.623566798,0.206622,49.941
"535","Goose - Greater White",-1,22.618773484,0.231218,52.4411
"536","Goose - Greater White",42,42.7203262,27.3572,55.7628
"537","Goose - Snow",165,162.6469706,109.408,226.41
"538","Goose - Canada",10,10.14366834,6.9659,13.6649
"539","Muskrat",100,99.881507,63.6194,129.954
"540","Mallard",4,4.08048732,2.70701,5.47385
"541","Goose - Snow",4,4.1823599,2.85161,5.52961
"542","Goose - Greater White",4,4.19771476,2.89273,5.61814
"543","Trout - Lake",9,9.0876145,6.13942,12.1681
"544","Burbot",1,1.067915404,0.751173,1.42185
"545","Ptarmigan - Willow",2,2.10341596,1.23616,2.74541
"546","Goose - Ross",1,1.052274196,0.704585,1.39761
"547","Goose - Greater White",6,6.19535894,4.27015,8.39672
"548","Goose - Snow",30,30.3948936,19.6947,40.4007
"549","Goose - Snow",5,5.17803686,3.53006,6.99053
"550","Goose - Greater White",5,5.136488,3.23939,6.75266
"551","Swan - Tundra",3,2.88295202,1.99002,3.91124
"552","Goose - Canada",2,2.11384276,1.34707,2.77356
"553","Muskrat",3,3.16979156,2.08196,4.15453
"554","Mallard",2,2.07211988,1.39956,2.84151
"555","Goose - Greater White",2,2.06942336,1.44784,2.78342
"556","Muskrat",35,35.5641596,25.287,49.6123
"557","Muskrat",9,9.23651602,6.05987,12.0059
"558","Beaver",52,51.6565946,35.113,69.4762
"559","Beaver",1,1.056023756,0.69466,1.43432
"560","Muskrat",125,123.3559556,78.0699,164.194
"561","Trout - Lake",1,1.045622536,0.708258,1.37208
"562","Goose - Greater White",6,6.15684782,3.82937,8.14438
"563","Muskrat",100,100.190465,67.1623,131.875
"564","Mallard",1,1.061154492,0.712621,1.37731
"565","Muskrat",30,29.8801884,20.0293,40.0045
"566","Scoter - Black",30,29.4719622,20.1013,39.5862
"567","Whale - Beluga",1,1.050636626,0.696026,1.39422
"568","Char - Dolly Varden",-1,21.44060943,0.37799,48.7371
"569","Whitefish - Broad",45,45.2091472,29.6978,60.3339
"570","Caribou - Porcupine",3,3.04018568,2.03408,4.01931
"571","Hare - Arctic",6,6.060086,4.01322,8.03458
"572","Whale - Beluga",1,1.05959905,0.720178,1.37604
"573","Inconnu",3,3.11685814,2.00661,4.12208
"574","Whitefish - Broad",18,18.5339156,12.5921,24.7714
"575","Trout - Lake",1,1.051594144,0.644434,1.39349
"576","Whitefish - Broad",6,6.20392656,4.22082,8.36602
"577","Whale - Beluga",1,1.066378274,0.690413,1.38753
"578","Trout - Lake",2,2.0729837,1.31276,2.75137
"579","Whale - Beluga",1,1.059113258,0.715292,1.39722
"580","Inconnu",16,16.44649552,10.4403,20.6585
"581","Caribou - Barren Ground",2,2.05795282,1.44237,2.81643
"582","Whale - Beluga",1,1.05491421,0.69926,1.40582
"583","Caribou - Barren Ground",1,1.056993002,0.689992,1.42058
"584","Whale - Beluga",1,1.049204174,0.675597,1.35694
"585","Whitefish - Broad",9,9.27072356,6.30234,12.1163
"586","Whitefish - Broad",50,50.1214762,33.0797,64.6651
"587","Inconnu",50,50.4498034,35.9127,67.3029
"588","Trout - Lake",6,6.136248,4.12727,8.28371
"589","Whale - Beluga",1,1.054189556,0.721619,1.38958
"590","Caribou - Barren Ground",1,1.05500215,0.704133,1.40569
"591","Whale - Beluga",1,1.05476482,0.736023,1.40011
"592","Whale - Beluga",1,1.0463458,0.694883,1.39331
"593","Inconnu",5,5.15380112,3.57712,7.01001
"594","Pike - Northern",20,19.5142248,13.01,25.3998
"595","Whitefish - Broad",35,35.6869542,24.6814,48.9172
"596","Whitefish - Broad",50,50.135815,34.565,66.3786
"597","Whitefish - Broad",30,30.345815,19.755,40.0039
"598","Inconnu",5,5.12062822,3.48048,6.79073
"599","Caribou - Porcupine",2,2.052127638,1.47704,2.83931
"600","Moose",1,1.047879346,0.712853,1.37726
"601","Caribou - Porcupine",1,1.060025598,0.757545,1.49778
"602","Caribou - Barren Ground",2,2.06783818,1.51294,2.74174
"603","Whale - Beluga",1,1.04406063,0.723599,1.36949
"604","Goose - Greater White",8,8.21983688,5.53659,10.9749
"605","Moose",1,1.030630694,0.737788,1.39998
"606","Caribou - Barren Ground",2,2.033298646,1.35399,2.65954
"607","Caribou - Barren Ground",-1,2.640039274,0.280979,5.04836
"608","Inconnu",20,20.5773442,13.7527,27.8531
"609","Whitefish - Broad",15,15.33703238,9.79621,19.8955
"610","Whale - Beluga",1,1.04195173,0.661428,1.3516
"611","Whitefish - Broad",50,50.316138,33.4574,65.0827
"612","Inconnu",20,20.3077284,13.7444,26.7565
"613","Pike - Northern",5,4.99510576,3.33722,6.70132
"614","Herring - Pacific",45,45.7945416,28.8961,60.499
"615","Whitefish - Broad",4,4.11612564,2.63035,5.46628
"616","Inconnu",2,2.0983853,1.48485,2.90116
"617","Whitefish - Broad",30,30.3610524,19.7781,39.8603
"618","Herring - Pacific",30,30.3871388,21.2392,42.5445
"619","Pike - Northern",1,1.060267802,0.695362,1.41094
"620","Flounder",1,1.049502618,0.680799,1.40457
"621","Caribou - Barren Ground",1,1.0689676,0.765403,1.48693
"622","Inconnu",1,1.048234378,0.677213,1.42456
"623","Caribou - Porcupine",1,1.051547622,0.677773,1.38898
"624","Whale - Beluga",2,1.88857014,1.32314,2.46605
"625","Whitefish - Broad",50,50.0541926,31.5417,64.1792
"626","Whitefish - Broad",15,15.08710188,10.1868,19.5297
"627","Whale - Beluga",2,1.88152094,1.29069,2.47493
"628","Inconnu",5,5.13731422,3.36211,6.87448
"629","Inconnu",3,3.1092134,2.14238,4.3169
"630","Pike - Northern",4,4.09666822,2.63246,5.42924
"631","Caribou - Porcupine",7,6.72324358,4.31916,8.87851
"632","Inconnu",1,1.048778398,0.671465,1.39554
"633","Moose",2,1.79288536,1.27601,2.41625
"634","Inconnu",7,7.25172556,5.03068,9.55391
"635","Caribou - Barren Ground",5,4.90049056,3.40482,6.84842
"636","Caribou - Barren Ground",5,4.8973297,3.1192,6.36543
"637","Moose",1,1.040847156,0.665576,1.32151
"638","Moose",-1,1.154301536,0.573334,1.71079
"639","Moose",3,2.42963994,1.71336,3.28174
"640","Goose - Greater White",2,2.0954501,1.34803,2.84196
"641","Inconnu",10,10.12035188,6.42391,13.0388
"642","Moose",1,1.061547376,0.683534,1.35895
"643","Moose",1,1.031924724,0.750473,1.39824
"644","Hare - Arctic",2,2.08168742,1.41202,2.84194
"645","Trout - Lake",2,2.11354512,1.34252,2.83708
"646","Moose",1,1.036707108,0.705099,1.34017
"647","Moose",-1,1.154416148,0.633541,1.68875
"648","Moose",1,1.042522598,0.667781,1.32407
"649","Moose",1,1.039186062,0.700719,1.39484
"650","Whitefish - Broad",9,9.34288314,6.01734,12.5111
"651","Inconnu",4,4.12757832,2.81272,5.48111
"652","Pike - Northern",-1,5.685941782,0.214771,13.384
"653","Inconnu",20,20.6177132,14.0155,27.3527
"654","Moose",1,1.05376922,0.71405,1.40017
"655","Whitefish - Broad",9,9.19592548,6.03804,12.3301
"656","Inconnu",4,4.15859054,2.72587,5.54187
"657","Pike - Northern",7,7.0023672,4.73158,9.68018
"658","Mallard",7,7.0682974,4.48494,9.29123
"659","Inconnu",4,4.13315226,2.70388,5.39274
"660","Whitefish - Broad",2,2.09190734,1.25592,2.73919
"661","Pike - Northern",2,2.06659968,1.36651,2.70992
"662","Goose - Canada",4,4.1737741,2.81678,5.53416
"663","Whitefish - Lake",20,20.3742806,14.5366,28.7281
"664","Caribou - Porcupine",6,5.9287447,3.82261,7.92284
"665","Hare - Snowshoe",2,2.07041422,1.43885,2.8176
"666","Inconnu",6,6.14351878,4.21352,8.19694
"667","Hare - Snowshoe",2,2.04402438,1.3849,2.73371
"668","Moose",1,1.059584666,0.683529,1.40643
"669","Inconnu",10,10.3768581,6.65416,13.9945
"670","Inconnu",200,202.382638,133.178,264.107
"671","Pike - Northern",20,19.7307821,13.0789,26.022
"672","Inconnu",2,2.07238468,1.30429,2.71629
"673","Inconnu",8,8.18019296,5.08999,10.6912
"674","Inconnu",10,10.41170192,6.85334,14.1404
"675","Caribou - Porcupine",2,2.0866978,1.28565,2.72998
"676","Caribou - Porcupine",8,7.67507326,5.16257,10.3695
"677","Moose",1,1.03931347,0.675956,1.35759
"678","Inconnu",-1,42.5799934118,0.0752229,102.464
"679","Caribou - Porcupine",4,4.02643834,2.51775,5.26997
"680","Moose",1,1.029488596,0.712206,1.37766
"681","Inconnu",20,20.4142834,13.9177,27.3394
"682","Whitefish - Broad",17,17.20705338,11.3402,22.8958
"683","Inconnu",11,11.30902752,7.12732,15.1612
"684","Whitefish - Broad",3,3.1835732,1.85752,4.16545
"685","Whitefish - Lake",3,3.1533437,2.10594,4.16547
"686","Moose",1,1.042753214,0.752765,1.40842
"687","Inconnu",2,2.06189226,1.34645,2.64511
"688","Burbot",1,1.051833816,0.673483,1.39172
"689","Moose",1,1.047051784,0.689073,1.34419
"690","Hare - Snowshoe",15,14.97416414,10.2766,19.9256
"691","Inconnu",40,40.2312722,26.1047,53.6435
"692","Ptarmigan - Willow",20,19.7553278,13.5265,26.1478
"693","Moose",1,1.060226662,0.675941,1.3959
"694","Pike - Northern",4,4.06300616,2.75053,5.52255
"695","Inconnu",7,7.15703316,4.68639,9.42111
"696","Hare - Snowshoe",3,3.08781246,1.94882,4.02193
"697","Inconnu",9,9.2692982,6.04336,12.5321
"698","Pike - Northern",8,8.01811012,5.3635,10.8544
"699","Moose",1,1.047013268,0.669734,1.35902
"700","Inconnu",2,2.08466824,1.45288,2.90338
"701","Whitefish - Broad",10,10.2339059,6.7496,13.6326
"702","Inconnu",4,4.14946768,2.67785,5.62228
"703","Hare - Arctic",6,6.05220808,3.94292,8.03369
"704","Moose",1,1.040023102,0.683043,1.3738
"705","Burbot",5,5.14292726,3.59595,6.94248
"706","Pike - Northern",1,1.071185376,0.742539,1.48332
"707","Moose",1,1.04501623,0.728745,1.4071
"708","Inconnu",2,2.11611036,1.36482,2.80119
"709","Burbot",1,1.044991078,0.71553,1.40425
"710","Moose",1,1.044751392,0.693999,1.35931
"711","Moose",3,2.50495678,1.5762,3.28534
"712","Caribou - Woodland",1,1.043347928,0.649278,1.42503
"713","Mallard",20,20.06763122,13.103,26.9797
"714","Swan - Trumpeter",1,1.06289617,0.69621,1.45717
"715","Inconnu",10,10.26795766,7.07525,13.8848
"716","Inconnu",17,17.2000158,11.0249,23.3693
"717","Inconnu",30,29.865663,19.7996,38.7631
"718","Caribou - Woodland",1,1.032949418,0.690514,1.3398
"719","Mallard",20,20.0366876,13.2038,26.3619
"720","Swan - Trumpeter",1,1.063095086,0.756038,1.41073
"721","Inconnu",10,10.41086848,6.98649,13.7743
"722","Inconnu",30,30.3732494,19.0506,38.5464
"723","Inconnu",14,14.27624748,9.52988,18.8052
"724","Burbot",83,81.5788978,55.8014,107.605
"725","Burbot",3,3.06312824,2.04258,4.11111
"726","Burbot",25,24.7516838,16.5633,33.011
"727","Inconnu",25,25.285108,17.384,33.9768
"728","Burbot",25,25.3173916,17.9357,33.0563
"729","Moose",1,1.049157376,0.702438,1.38499
"730","Burbot",2,2.08035834,1.42679,2.66142
"731","Caribou - Barren Ground",3,2.99146438,2.00043,3.88381
"732","Caribou - Bluenose",-1,2.725625622,0.235557,5.37418
"733","Whitefish - Broad",50,50.7969246,33.9043,65.7595
"734","Whitefish - Broad",50,50.2467836,32.5331,67.0061
"735","Pike - Northern",8,7.9333483,5.1424,10.307
"736","Pike - Northern",7,7.09162378,4.26129,9.18086
"737","Pike - Northern",5,5.05600378,3.38302,6.91346
"738","Moose",2,1.78883634,1.24109,2.3079
"739","Caribou - Barren Ground",2,2.066018024,1.39124,2.74588
"740","Caribou - Bluenose",3,2.99926874,1.96049,3.97854
"741","Caribou - Bluenose",3,3.01009122,1.94992,3.88467
"742","Burbot",5,5.03985218,3.68864,6.72339
"743","Burbot",5,5.16653076,3.36269,7.16223
"744","Inconnu",6,6.17772794,4.17709,8.32911
"745","Burbot",2,2.06931888,1.40213,2.81125
"746","Burbot",5,5.13117222,3.16539,6.80924
"747","Whitefish - Lake",150,150.470802,96.7081,199.779
"748","Whitefish - Broad",150,149.4599264,98.0387,196.249
"749","Burbot",40,39.3572426,24.1956,53.2458
"750","Inconnu",130,129.6214634,85.7158,170.366
"751","Inconnu",15,15.2831539,9.96453,19.7276
"752","Inconnu",1,1.049645026,0.710715,1.46305
"753","Moose",1,1.037760806,0.678165,1.35404
"754","Burbot",12,12.01624188,7.2802,15.4694
"755","Inconnu",15,15.2906571,10.6022,20.6158
"756","Burbot",-1,9.015594714,0.12741,19.4373
"757","Inconnu",3,3.10329796,1.90438,4.16322
"758","Moose",1,1.038901376,0.725077,1.40378
"759","Trout - Lake",4,4.11926256,2.71946,5.42571
"760","Caribou - Barren Ground",3,3.03621758,1.98392,4.02078
"761","Caribou - Barren Ground",1,1.048956834,0.736371,1.42474
"762","Burbot",3,3.11659268,2.09164,4.13624
"763","Inconnu",10,10.13762944,6.81051,13.733
"764","Burbot",10,10.12900598,7.19464,13.7129
"765","Inconnu",3,3.10211192,2.16567,4.03301
"766","Burbot",3,3.07733614,2.07427,4.11596
"767","Inconnu",10,10.21259492,6.75073,13.5022
"768","Burbot",4,4.04924446,2.61659,5.46328
"769","Inconnu",5,5.17105634,3.5507,6.94182
"770","Burbot",3,3.09856902,2.07148,3.90828
"771","Ptarmigan - Willow",1,1.06641319,0.729197,1.44237
"772","Hare - Snowshoe",2,2.08187026,1.26644,2.62363
"773","Inconnu",1,1.059277898,0.716968,1.41145
"774","Caribou - Barren Ground",5,4.9384073,3.25378,6.44272
"775","Moose",1,1.032645146,0.749873,1.37672
"776","Caribou - Barren Ground",3,3.02988944,2.02155,3.88767
"777","Moose",1,1.03636286,0.73629,1.37262
"778","Moose",1,1.041111202,0.722,1.37873
"779","Caribou - Woodland",4,3.94067076,2.6195,5.36105
"780","Caribou - Woodland",1,1.055772886,0.67674,1.3812
"781","Moose",1,1.058853702,0.734207,1.40832
"782","Inconnu",5,5.18242646,3.3737,6.72927
"783","Burbot",10,10.24738672,6.82856,13.3704
"784","Beaver",1,1.05834396,0.730809,1.44598
"785","Beaver",1,1.051307838,0.636855,1.38499
"786","Burbot",1,1.047776402,0.662272,1.39573
"787","Ptarmigan - Willow",28,27.4438822,17.9616,35.9703
"788","Ptarmigan - Willow",10,10.04595134,6.6533,13.2506
"789","Ptarmigan - Willow",18,17.76135674,11.5464,23.6765
"790","Trout - Lake",2,2.09524912,1.35527,2.74369
"791","Trout - Lake",2,2.08454952,1.30084,2.78548
"792","Trout - Lake",2,2.07184278,1.40253,2.72863
"793","Caribou - Barren Ground",2,2.03781192,1.3004,2.63524
"794","Trout - Lake",1,1.058805216,0.702031,1.4281
"795","Bear - Polar",1,1.046942082,0.678313,1.32635
"796","Bear - Polar",1,1.049930244,0.661283,1.35121
"797","Seal - Ringed",1,1.031935216,0.673081,1.40272
"798","Bear - Polar",1,1.045692272,0.701274,1.32183
"799","Trout - Lake",18,18.12114836,12.9057,24.2571
"800","Trout - Lake",1,1.045373788,0.706891,1.42039
"801","Bear - Polar",1,1.039789244,0.708191,1.33132
"802","Bear - Polar",1,1.039032806,0.71367,1.37521
"803","Bear - Polar",1,1.054954256,0.739922,1.37342
"804","Bear - Polar",1,1.05104027,0.689479,1.32273
"805","Goose - Greater White",20,20.24271434,12.7239,26.6637
"806","Goose - Canada",3,3.1497038,2.05323,4.18928
"807","Goose - Snow",3,3.11519366,2.18113,4.12922
"808","Goose - Snow",20,20.1437308,13.5633,26.611
"809","Trout - Lake",1,1.055520532,0.709744,1.40146
"810","Burbot",1,1.056748226,0.720262,1.40602
"811","Trout - Lake",7,7.1751926,4.68812,9.72831
"812","Ptarmigan - Willow",30,29.4295698,19.6022,38.8909
"813","Goose - Snow",25,25.0154022,17.2218,32.3292
"814","Swan - Tundra",3,2.8826906,1.96841,3.85017
"815","Goose - Canada",6,6.24307968,4.24174,8.16328
"816","Goose - Greater White",40,39.6895214,25.3713,52.6998
"817","Crane - Sandhill",3,3.00817776,1.90503,4.14874
"818","Goose - Greater White",20,20.53764,14.0913,27.0599
"819","Goose - Canada",20,20.1709798,13.8971,26.3207
"820","Goose - Ross",4,4.1115391,2.78046,5.57675
"821","Goose - Snow",1,1.065267022,0.741201,1.4507
"822","Goose - Snow",50,49.8177528,32.5818,65.7557
"823","Goose - Greater White",30,30.4634536,20.7476,40.5985
"824","Goose - Canada",2,2.105876026,1.48457,2.80191
"825","Goose - Ross",1,1.058629454,0.682653,1.38754
"826","Goose - Snow",3,3.08746618,1.92653,4.04494
"827","Goose - Snow",60,59.3546814,40.1586,79.1284
"828","Goose - Greater White",15,15.20059292,10.2594,20.5848
"829","Goose - Canada",10,10.25719026,6.91965,13.512
"830","Goose - Snow",2,2.10031718,1.29722,2.74548
"831","Goose - Snow",60,59.5252502,39.9681,79.8873
"832","Goose - Greater White",80,79.7189482,54.1493,105.394
"833","Goose - Snow",1,1.0616892,0.684042,1.37173
"834","Goose - Snow",40,40.2584316,27.0962,53.1867
"835","Goose - Canada",3,3.12733136,2.12358,4.19708
"836","Swan - Tundra",1,1.075346344,0.711934,1.41377
"837","Crane - Sandhill",1,1.05520656,0.689719,1.39013
"838","Goose - Greater White",35,35.2947476,22.3908,46.5496
"839","Goose - Ross",2,2.08091902,1.38875,2.74151
"840","Goose - Snow",27,27.1410608,17.4982,35.5144
"841","Goose - Snow",55,54.2195918,36.6952,71.1227
"842","Swan - Tundra",1,1.07371899,0.678228,1.37945
"843","Goose - Greater White",4,4.15907072,2.76374,5.54047
"844","Goose - Canada",2,2.08282232,1.32993,2.79914
"845","Goose - Snow",3,3.14379758,2.10625,4.18099
"846","Goose - Snow",14,14.18254796,9.56383,18.8173
"847","Goose - Ross",1,1.064278812,0.698408,1.46518
"848","Goose - Greater White",31,31.444758,21.8609,42.9887
"849","Goose - Canada",3,3.1065824,2.17816,4.18949
"850","Goose - Snow",4,4.13877822,2.67697,5.37577
"851","Goose - Snow",47,47.0236224,30.0198,61.2938
"852","Ptarmigan - Willow",8,8.0429153,5.16967,10.5058
"853","Trout - Lake",2,2.0785353,1.36652,2.77262
"854","Seal - Ringed",5,5.06390814,3.54431,6.81124
"855","Goose - Snow",15,15.21226872,9.36082,20.2331
"856","Goose - Greater White",20,20.5978358,14.429,28.1095
"857","Goose - Snow",4,4.17830886,2.6496,5.38571
"858","Goose - Ross",4,4.15861506,2.63699,5.54771
"859","Goose - Canada",15,15.30873226,10.2904,20.727
"860","Goose - Snow",82,80.1279104,55.0976,108.393
"861","Goose - Greater White",10,10.20249238,6.3086,13.3011
"862","Goose - Snow",20,20.28271834,12.8691,26.783
"863","Goose - Greater White",25,24.8987712,16.9379,32.528
"864","Goose - Canada",10,10.18300106,6.49305,13.3752
"865","Goose - Snow",6,6.14874406,4.11934,8.15939
"866","Char - Land Locked",4,4.17447624,2.78154,5.61771
"867","Goose - Greater White",5,5.22914074,3.31844,6.80956
"868","Goose - Snow",12,12.13301796,8.0834,16.1199
"869","Goose - Snow",1,1.055069522,0.667196,1.39853
"870","Goose - Greater White",3,3.12120302,2.15522,4.11165
"871","Goose - Snow",3,3.12751602,2.07287,4.1348
"872","Goose - Canada",3,3.11227176,2.0411,4.30876
"873","Char - Land Locked",4,4.13763564,2.73618,5.43363
"874","Goose - Greater White",15,15.29274152,9.82459,20.3511
"875","Goose - Snow",20,20.2649034,11.932,26.0742
"876","Goose - Canada",15,15.31063578,9.66815,20.0743
"877","Swan - Tundra",2,2.01482367,1.29511,2.64949
"878","Goose - Snow",3,3.09801826,2.11259,4.10256
"879","Caribou - Barren Ground",2,2.04067202,1.32885,2.59934
"880","Goose - Greater White",20,20.1907512,13.4127,26.7296
"881","Goose - Canada",15,15.25852924,9.55452,20.1273
"882","Goose - Ross",2,2.06888998,1.40058,2.82542
"883","Goose - Snow",5,5.12395462,3.31765,6.61109
"884","Goose - Snow",110,107.1441562,75.8013,144.055
"885","Swan - Tundra",3,2.9209934,1.87504,3.84948
"886","Goose - Greater White",5,5.14326808,3.39383,6.76151
"887","Goose - Snow",2,2.08055122,1.37755,2.71316
"888","Goose - Snow",50,50.1919516,31.3616,65.8395
"889","Goose - Greater White",29,28.5943364,19.4369,36.3059
"890","Goose - Canada",10,10.240619,6.94219,13.4508
"891","Goose - Ross",3,3.17866732,1.90919,4.13234
"892","Swan - Tundra",3,2.92195754,2.00872,3.80306
"893","Goose - Snow",5,5.14562712,3.29025,6.65641
"894","Goose - Snow",50,50.3570332,34.2642,67.0134
"895","Muskox",1,1.06572714,0.657127,1.38801
"896","Caribou - Barren Ground",2,2.033335546,1.33366,2.70954
"897","Goose - Greater White",8,8.20077474,5.81496,11.1345
"898","Goose - Canada",4,4.12182852,2.8457,5.34774
"899","Goose - Snow",3,3.11245238,1.99377,4.22392
"900","Goose - Snow",35,35.1616536,22.1856,46.6917
"901","Goose - Snow",75,74.9665184,48.5866,100.76
"902","Goose - Snow",2,2.11800738,1.37308,2.93037
"903","Swan - Tundra",1,1.083863468,0.730733,1.44687
"904","Goose - Canada",4,4.20049168,2.7425,5.61616
"905","Goose - Greater White",20,20.1291706,13.7756,27.3308
"906","Goose - Greater White",54,54.002309,37.4327,73.0192
"907","Goose - Snow",5,5.13216656,3.55609,6.73056
"908","Goose - Canada",4,4.15028466,2.68729,5.44976
"909","Goose - Snow",30,30.3891682,18.3781,40.874
"910","Ptarmigan - Willow",6,6.16583458,3.92776,8.00491
"911","Goose - Greater White",15,15.38379576,10.1901,20.6393
"912","Goose - Canada",7,7.31307842,4.74114,9.84606
"913","Goose - Ross",2,2.06955254,1.36571,2.65075
"914","Goose - Snow",2,2.0820575,1.3818,2.76107
"915","Goose - Snow",20,20.4438172,13.1137,26.5012
"916","Goose - Greater White",40,40.881305,27.3781,56.0358
"917","Goose - Canada",2,2.089310166,1.45883,2.85078
"918","Goose - Snow",3,3.13059606,1.88974,4.15133
"919","Goose - Snow",60,60.8796766,39.4473,79.9796
"920","Goose - Greater White",32,32.4048178,21.0047,42.6014
"921","Goose - Snow",5,5.19982256,3.3325,6.69619
"922","Goose - Snow",80,79.4539966,48.4358,104.831
"923","Goose - Greater White",25,25.2626964,16.8773,33.2757
"924","Goose - Canada",10,10.24757252,6.483,13.8457
"925","Goose - Snow",10,10.35634868,6.4271,13.2727
"926","Goose - Greater White",35,35.5224384,24.0876,47.4668
"927","Goose - Snow",30,29.6829676,20.1556,39.4143
"928","Goose - Snow",4,4.2084834,2.71673,5.73995
"929","Goose - Canada",2,2.1092107,1.43544,2.78615
"930","Swan - Tundra",1,1.062245534,0.699055,1.35796
"931","Goose - Greater White",45,44.6260916,29.1304,58.6617
"932","Goose - Canada",10,10.18461456,6.7637,13.3661
"933","Goose - Snow",60,59.0926802,35.099,75.0889
"934","Swan - Tundra",3,2.86619472,1.94534,3.88256
"935","Goose - Greater White",29,29.2192498,19.856,38.4365
"936","Goose - Snow",56,55.5545058,36.4659,72.404
"937","Goose - Canada",15,15.31983314,9.86308,20.7094
"938","Goose - Greater White",45,45.0161038,31.0154,60.2007
"939","Goose - Snow",75,74.0348278,47.1887,99.0377
"940","Goose - Greater White",35,34.7694374,23.1115,46.3654
"941","Goose - Snow",75,74.2743818,52.6291,100.353
"942","Swan - Tundra",2,1.99784104,1.35919,2.6571
"943","Char - Land Locked",2,2.05467678,1.33796,2.66955
"944","Caribou - Barren Ground",1,1.071607678,0.707819,1.40339
"945","Char - Arctic",11,11.35857256,7.69317,15.1071
"946","Trout - Lake",7,7.17647662,4.9813,9.56705
"947","Caribou - Barren Ground",2,2.03816878,1.32463,2.72512
"948","Char - Land Locked",1,1.063756628,0.73632,1.41058
"949","Whitefish - Lake",1,1.049495274,0.704092,1.39602
"950","Cod - Greenland",1,1.047145988,0.7132,1.37107
"951","Whitefish - Broad",21,21.3595154,14.9266,28.8053
"952","Char - Land Locked",3,3.09876174,2.10731,4.16307
"953","Trout - Lake",1,1.060117094,0.701997,1.39252
"954","Caribou - Barren Ground",1,1.06321335,0.698344,1.45459
"955","Char - Land Locked",2,2.107957624,1.31582,2.78476
"956","Trout - Lake",6,6.15310636,4.07525,8.01788
"957","Char - Arctic",8,8.15230622,5.4223,10.5715
"958","Caribou - Barren Ground",1,1.045439768,0.659452,1.42695
"959","Char - Land Locked",15,15.40417486,10.2266,21.2409
"960","Burbot",1,1.046616014,0.674394,1.41085
"961","Char - Land Locked",7,7.17773098,4.93721,9.75934
"962","Seal - Ringed",5,4.97052508,3.3652,6.5615
"963","Merganser - Common",1,1.050130304,0.68246,1.3522
"964","Char - Land Locked",10,10.20117596,6.6211,13.3306
"965","Caribou - Barren Ground",1,1.060771306,0.704101,1.42141
"966","Caribou - Barren Ground",2,2.05967152,1.36408,2.7685
"967","Char - Land Locked",20,20.1582528,13.0685,26.2933
"968","Trout - Lake",4,4.12898154,2.56897,5.39839
"969","Char - Arctic",17,17.52520658,12.0994,23.4434
"970","Caribou - Barren Ground",1,1.064332894,0.755666,1.48318
